Enc. Variable 0,Enc. Variable 1,Enc. Variable 2,Enc. Variable 3,Enc. Variable 4,Enc. Variable 5,Enc. Variable 6,Enc. Variable 7,Enc. Variable 8,Enc. Variable 9,Enc. Variable 10,Enc. Variable 11,Enc. Variable 12,Enc. Variable 13,Enc. Variable 14,Enc. Variable 15
0.092872754,-0.14071824,0.31360918,0.061423644,0.49788976,0.22364153,0.46835393,0.010143798,0.2029969,-0.27976763,-0.096671924,-0.6186656,0.15397985,-0.58783656,-0.41336277,-0.3838752
0.080572814,0.05415622,0.46599743,-0.24674213,0.6071026,0.402283,0.33909982,0.15578835,-0.2950944,-0.03859648,0.4897388,-0.88486034,-0.11800315,-0.22341427,-0.7155525,-0.23424163
0.18930846,-0.028612114,0.35751718,-0.30750763,0.5760706,0.20445381,0.6155412,0.16727163,-0.3232815,-0.022636332,0.55514586,-0.39968115,0.1542797,-0.45188022,-0.3187026,-0.21149471
0.1419746,-0.34918466,0.3725251,-0.39563495,0.19483571,-0.13167435,0.38067952,-0.07266718,-0.131779,0.010147586,0.15192226,-0.047524042,0.087009355,-0.31145722,-0.27202556,-0.039308634
0.14402983,-0.35821882,0.5436393,-0.069019884,0.23514663,-0.45526844,0.543773,-0.27003577,-0.18589105,-0.06997139,0.019196436,-0.07580333,0.047618613,-0.16769964,-0.41520706,0.14815408
0.14763702,0.017369376,0.35955426,-0.06267672,0.5972492,0.19843651,0.75573266,0.056020092,-0.071416676,0.04753869,0.061263308,-0.56374836,-0.0805368,-0.204957,-0.1200199,-0.27753267
0.17049764,-0.06354627,0.17371833,-0.12387043,0.5616953,0.15348415,0.6289364,0.19008715,-0.29984784,-0.10884446,0.502232,-0.40157568,0.07427391,-0.5258548,0.028780919,-0.29235813
0.19255026,-0.39899048,0.5394709,-0.30752897,0.26704895,-0.19058283,0.5658624,-0.11302373,-0.10098947,0.07093112,0.13077217,-0.1486838,-0.026333889,-0.30317637,-0.36234665,0.08910678
0.21611479,-0.1683132,0.4580583,-0.17542787,0.46872413,0.0218307,0.427634,0.3148159,-0.36395222,0.06135823,0.27749366,-0.2280583,-0.13518107,-0.20349741,-0.06902807,-0.15447211
0.19715253,-0.1483613,0.24781653,0.04700817,0.24728444,-0.35537398,0.37866175,-0.098626345,-0.12234203,-0.21885158,-0.09027116,0.19169678,0.31224266,-0.19853328,-0.03773109,0.009532167
0.1240136,0.08022279,0.3207223,-0.109240286,0.76247114,0.072415486,0.69072944,0.056432355,-0.6327937,0.09055799,0.32883742,-0.5824204,0.43319342,0.03750269,-0.30116904,0.021807494
0.32557985,-0.3198608,0.41446713,-0.082584515,0.45728043,-0.28635627,0.5958157,-0.0071562417,-0.61993015,-0.15572324,0.045949385,-0.008504257,-0.024282245,0.06459891,-0.4122238,-0.09996156
0.04972388,-0.057121247,0.41602543,-0.020112127,0.5384477,0.3470186,0.63668585,0.23559307,-0.2748146,-0.13442434,0.23544872,-0.84817237,-0.08089026,-0.15130931,-0.67565864,-0.28652242
0.27837196,-0.076168895,0.28778163,-0.302661,0.33578843,-0.18463384,0.56215715,0.15025781,-0.2889763,0.025813363,0.21807846,-0.16058962,0.124243386,-0.31464598,-0.20709555,-0.0654974
0.19546196,0.17846152,0.4529028,-0.34690306,0.60294205,-0.06421916,0.62607425,0.13641526,-0.3188018,0.17484233,0.30705974,-0.40649134,0.30483142,-0.11070656,0.07180737,-0.018159235
0.120646685,0.22419216,0.5356516,-0.14876506,0.40040615,0.06740916,0.6320995,-0.040877428,0.29453093,0.06486942,-0.012908347,-0.51779306,0.04492771,-0.3594391,-0.28720877,-0.3998027
0.12169111,-0.063204706,0.5709159,-0.21646133,0.507095,0.019485936,1.0112689,-0.31888014,0.14782119,0.07417588,0.1377365,-0.38449955,0.087861,-0.32612413,-0.1213734,-0.17468587
-0.36523375,-0.15234683,0.13837153,-0.14602391,0.3880401,-0.24904783,-0.31037647,0.73794574,-0.37731406,-0.06474237,0.366908,-0.5803372,-0.015929023,0.02467597,-0.4222921,-0.17500907
0.34592274,-0.24893013,0.375075,-0.14926285,0.278593,-0.38665307,0.68518645,-0.17713293,-0.20975494,-0.14433682,-0.06165589,0.13969149,0.13481672,-0.16508473,-0.4063999,-0.12741143
0.13050617,-0.21992254,0.22452742,-0.1881381,0.38151684,-0.14763665,0.28234166,0.4560763,-0.2705656,0.04402089,0.08764049,-0.13565417,0.04829804,-0.12139661,-0.057698183,-0.11721487
0.119689494,-0.025326975,0.4594368,-0.23098469,0.37614003,0.2371106,1.0193602,-0.4980648,-0.048149526,-0.1557235,0.1968582,-0.48997056,0.17218085,-0.42065904,-0.7071823,-0.04156327
0.25384063,-0.48435754,0.42342022,-0.63806355,0.2512092,-0.073067576,1.0463687,-0.4321209,-0.24677743,0.1367502,-0.073777184,0.02985967,0.039023515,-0.040340252,-0.5399051,-0.031556472
0.07264707,-0.11965555,0.2955713,-0.61865103,0.2244426,0.2425365,1.2163953,-0.32192585,-0.35615385,0.06152819,0.20658115,-0.5527883,0.3096472,-0.2186513,-0.4434962,-0.12790976
0.16054817,-0.068023324,0.52463746,-0.56857383,0.50004846,0.13945821,1.0349532,-0.42166254,0.039572276,0.10286443,0.3630529,-0.18815729,0.18634279,-0.45466328,-0.23771065,-0.05607153
0.104185805,-0.3830292,0.51013994,-0.4432358,0.4290015,0.19646032,0.7503293,-0.288963,-0.5791768,0.12204081,0.4550543,-0.44969368,0.15126266,-0.26556727,-0.5979513,0.097995766
0.16482407,-0.23812553,0.4637082,-0.5511733,0.30676362,-0.059843197,0.6395732,-0.15036263,-0.28917077,0.22197169,0.20360115,-0.075837985,0.046797015,-0.30005008,-0.33189237,-0.033579398
-0.032078065,0.05581225,-0.2569754,-0.59095204,0.15901615,0.026852712,1.5297132,-0.8040541,-0.1945341,-0.002167508,0.025209643,-0.27480137,0.2299576,-0.13473034,-0.5441935,0.018767336
0.09633657,-0.40295947,0.5166578,-0.31014717,0.39884937,-0.13744575,0.86084723,-0.34247103,-0.30421922,-0.14451316,0.2522602,-0.10784342,0.13624795,-0.2392787,-0.5206817,0.067846864
0.05186308,-0.41885743,0.42459902,-0.12745371,0.18872951,-0.1525184,0.33713248,-0.032645676,-0.09713409,-0.09976582,0.1003635,-0.06979689,0.10284508,-0.51160705,-0.027613424,0.12599662
-0.011334725,-0.42891663,0.23655468,-0.013255194,0.4573347,-0.23931356,-0.0722072,0.595422,-0.4422299,-0.15965089,0.18295291,-0.34260184,0.1035079,0.17179996,-0.3969531,-0.22550207
0.21766824,-0.2913089,0.4919731,-0.017717537,0.25431633,-0.3597204,0.5460416,-0.227488,-0.008588299,-0.13274953,-0.10604084,0.12253684,0.05769118,-0.28414476,-0.1242477,0.046698205
0.15826464,-0.25082546,0.42908862,-0.49393788,0.3330624,-0.118530385,1.1578397,-0.44637248,0.05281706,0.12969112,-0.042692434,0.050553896,0.018974569,-0.14931127,-0.23035234,-0.11668871
0.04815556,0.24357967,0.12875637,-0.08385825,0.71508116,0.23362686,0.6954235,0.025633838,-0.2592301,-0.09442726,-0.021799272,-0.66460615,-0.059401564,0.20772952,-0.3816933,-0.33214366
-0.018363684,-0.122204244,0.2687517,-0.36658916,0.44556168,0.2517116,0.87437904,-0.009758081,-0.5783322,0.14190148,0.05430165,-0.6618644,-0.37279892,0.15930358,-0.4086727,0.12985232
0.28152713,-0.32806012,0.39971057,-0.06951557,0.26189542,-0.23025766,0.4941365,0.106287345,-0.3377014,-0.23354729,0.029679254,0.017834984,0.21327792,-0.10861901,-0.45947745,-0.25562185
0.14799026,-0.52414244,0.46147513,-0.46980256,0.22861409,-0.16984785,0.5267852,-0.21879725,-0.05441396,0.014752626,0.08162143,-0.007176265,0.11459527,-0.17900978,-0.5849532,0.13046575
0.14997675,-0.21422979,0.3480401,-0.082380384,0.39134523,-0.049398314,0.3174093,0.310497,-0.3141514,-0.013389379,0.33089873,-0.23054758,0.19778484,-0.21689263,-0.038431026,-0.20424557
0.103706256,-0.22470573,0.35507622,-0.32488388,0.4151737,0.036965214,0.2888074,0.11030549,-0.21729779,0.15552233,0.40190193,-0.41734415,0.07499901,-0.42805037,-0.15334323,-0.20300925
0.14981788,-0.26923627,0.33842078,-0.029974394,0.34424245,-0.14800428,0.27253214,0.2840881,-0.5024749,-0.067963876,0.24612275,-0.17519462,-0.0734091,-0.20939283,-0.29975444,-0.25351092
0.15242034,-0.33736956,0.34169936,-0.17321144,0.037836663,-0.36458743,0.06052538,0.30297622,-0.29611328,-0.118229225,-0.21049243,0.0023646057,0.11864916,-0.008552307,-0.429488,-0.08461216
0.0780095,-0.12322503,0.3061827,0.06392947,0.75084347,0.10660572,0.12557438,0.4242586,-0.57901627,-0.3868641,0.53849167,-0.5471642,0.08418599,-0.009030638,-0.6468685,-0.24285367
0.19561113,-0.57651395,0.5201176,-0.2380969,0.24767493,-0.37146688,0.3701027,-0.3563868,-0.28227106,-0.08607308,0.033139773,-0.13307449,0.21302454,-0.025531322,-0.605695,0.28748834
0.009891037,0.020293647,0.59586793,-0.14231645,0.43271807,0.22855036,0.77098817,-0.105433,0.048193835,0.06600687,0.10819296,-0.50295645,0.08086704,-0.093726896,0.13200511,-0.35751897
0.20126165,-0.17288974,0.39586762,-0.19831508,0.67228407,-0.10828452,0.38512975,0.12229125,-0.5499077,0.095778644,0.40340444,-0.57049644,0.3186086,-0.21405265,-0.12285523,-0.094927415
0.35892332,-0.220222,0.60987645,-0.57350767,0.37053987,0.068477266,0.8787174,-0.02295645,-0.2221158,0.2754074,0.09538969,-0.16126724,0.12083475,-0.1324765,-0.39256912,-0.34283027
-0.012161311,-0.2747229,0.10225238,-0.031219281,0.25608933,-0.14982335,0.0033474006,0.43377873,-0.3510093,-0.17391098,0.2013511,-0.27123696,0.18632828,-0.21331233,-0.103890896,-0.13701463
0.25955358,0.068280846,0.49309412,-0.44131088,0.4137696,0.008272011,0.7609477,0.09008202,-0.0764931,0.22948417,0.35512272,-0.3787623,0.23837167,-0.3770364,0.17477258,-0.15838592
0.07016093,0.10384104,0.45012158,-0.076796725,0.4113159,0.32523096,0.42892626,0.33937606,-0.0184673,-0.09425269,0.20462963,-0.60916847,0.010185737,-0.2871468,-0.30412167,-0.29168007
0.22693342,-0.006782666,0.45777175,-0.39803883,0.17098813,-0.23426586,0.9324529,-0.16612346,0.15599202,0.15208058,-0.002888456,-0.033058215,0.17650041,-0.20577732,0.029509775,-0.29067293
0.10445456,-0.59407365,0.48493302,-0.58411515,0.30612504,-0.18464844,1.0854635,-0.50932777,0.02353342,0.23169407,-0.13834362,0.11177638,-0.07641123,0.036636125,-0.50569296,-0.059215773
0.27113095,-0.17657028,0.31048617,-0.45311037,0.50903594,0.014270574,0.98417807,-0.24489953,-0.52203625,0.12832503,0.21180332,-0.5387734,0.16962428,-0.21825847,-0.366755,0.017526148
0.17618336,-0.30053872,0.033090264,-0.34017774,0.34739888,-0.05413094,1.225743,-0.2871591,-0.092085935,0.035199963,-0.16752082,-0.19363396,0.050073184,0.20080598,-0.133359,-0.08221349
