Enc. Variable 0,Enc. Variable 1,Enc. Variable 2,Enc. Variable 3,Enc. Variable 4,Enc. Variable 5,Enc. Variable 6,Enc. Variable 7,Enc. Variable 8,Enc. Variable 9,Enc. Variable 10,Enc. Variable 11,Enc. Variable 12,Enc. Variable 13,Enc. Variable 14,Enc. Variable 15
-0.2697253,-0.25759208,-0.4103056,-0.443754,0.44435832,0.049780637,0.026092138,0.2267155,0.52280366,-0.16468251,-0.22166455,0.36041087,-0.14985788,-0.10676312,-0.57086694,-0.296046
-0.40172264,-0.44088253,-0.07979489,-0.5392102,0.19917707,0.16255604,0.11821447,-0.12414117,-0.014409173,-0.31366175,-0.352897,0.012329727,-0.52117586,-0.004089601,0.33601642,-0.57153916
-0.19050217,-0.25351653,0.0022684634,-0.5645078,0.20846006,0.2199565,1.3444695,-0.5081395,0.013462232,-0.15408257,0.12772623,-0.14143865,0.10070424,-0.14817496,-0.7005332,-0.18913905
-0.29265732,-0.42428994,-0.14008838,-0.92831254,0.41735587,0.049844056,-0.16812287,-0.12280153,-0.17979434,-0.0015198514,-0.045468494,0.029289216,-0.19288275,-0.2816264,-0.19716054,-0.891879
-0.34335345,-0.25592434,0.0072219893,-0.10396909,0.49433246,-0.34074152,-0.06822404,0.3739153,0.032320045,0.03775111,-0.054250795,-0.10336968,0.5291027,-0.75223297,-0.3245513,0.50818115
-0.31289643,-0.41426343,-0.29399037,-0.40133443,-0.24872454,0.050152138,-0.07910749,-0.2429624,-0.08347716,-0.09105198,-0.32583937,0.17393115,-0.24668482,0.03390209,0.37049004,-0.44746235
-0.18098965,-0.32936585,0.017972983,0.43326762,0.06398384,-0.19581477,-0.2558097,0.3100136,-0.3084812,0.028644636,-0.23766246,-0.57829535,0.3357894,-0.25243467,0.06272869,0.3127883
-0.2008849,-0.3817059,0.10049993,0.2988997,0.40589327,0.2509359,-0.15688097,0.25452605,-0.6228497,0.07812925,-0.061896507,-0.645064,0.2616566,-0.31630024,-0.17399497,-0.06826011
-0.03566735,-0.3341648,0.3601263,0.24129367,0.04432306,-0.17141338,-0.18225071,0.40474182,-0.27420148,-0.15184297,-0.4737367,-0.33689642,0.55338955,-0.072546795,-0.18499003,0.27819628
-0.24484332,-0.059874296,-0.43162107,-0.30228192,-0.07219168,-0.50935835,0.2739288,-0.11859211,-0.45907384,0.42216307,-0.26324937,-0.58976984,0.18393344,0.1403064,0.3954336,0.7386536
0.22071335,-0.119027674,-0.14734524,-0.12747282,0.2812923,-0.08590223,0.1288565,-0.39677337,0.0009817053,-0.14875244,-0.0747717,-0.15176573,0.65059304,-0.42388135,0.2502273,0.12460309
0.09732525,-0.20790887,-0.36514762,-0.7858511,0.5764652,0.2510596,-0.1210217,-0.095644295,0.14674379,0.01736848,0.11387483,0.09926772,0.006544685,-0.38740528,-0.3751213,-0.23121199
0.10105482,-0.36446777,0.40899298,-0.03844241,0.2776884,-0.36607724,0.31923693,-0.024154782,-0.008944709,-0.11373936,0.11024041,-0.05115883,0.18431403,-0.19132672,-0.015744295,-0.10149668
-0.58088803,-0.32505432,0.26798874,0.39723882,-0.057036318,-0.26190323,0.013562961,-0.054355748,0.25840816,0.11616631,-0.16451323,-0.7142186,0.44837734,-0.05490251,0.118810594,0.022217738
-0.08519188,0.103841424,-0.27829906,-0.6583948,0.73702484,0.2062255,-0.11673139,-0.3303415,-0.14323089,0.03139343,0.107075356,-0.147405,-0.13654016,-0.33936182,-0.43633795,-0.63629776
-0.39402255,-0.40107763,-0.18030903,-0.30026615,0.6509076,0.18465549,0.042847984,0.32441118,0.083153866,-0.092000626,-0.092608154,0.23163678,-0.240273,-0.1994981,-0.25896537,-0.55769867
0.0021625236,-0.09133628,0.07609334,0.2170605,-0.122149065,-0.4345317,0.036782205,0.3554095,0.2562382,-0.22323695,-0.42093447,0.28364825,0.7199663,-0.2719076,-0.47331658,0.49277806
-0.058765914,-0.31775534,0.184412,0.14665505,0.21397173,-0.18792595,-0.19567302,0.46341586,-0.104029395,0.0460751,-0.45088556,-0.3755492,0.69175744,-0.28953448,-0.061365187,0.2976841
-0.17857727,-0.16995987,0.14344165,-0.02827657,0.28391784,-0.61419475,0.056708846,-0.1516038,0.61909163,-0.3396111,-0.289402,0.25067437,0.44014335,-0.60586214,-0.32871497,0.15029319
-0.2869123,-0.24344963,0.043586295,0.08417468,-0.11333669,-0.39273828,-0.2992543,0.27853832,0.3886408,-0.18900058,-0.31824648,0.14849006,0.65880656,-0.5570291,-0.19300254,0.705894
0.11402926,0.32558316,0.8030205,-0.6129017,-0.06365635,0.23704521,0.64400864,0.07645108,-0.41655305,-0.32168669,0.15991086,-0.080758765,-0.08884383,0.27059525,-0.3869435,-0.11498107
0.196993,-0.37641937,-0.20923734,0.27162987,-0.6301462,-0.20113297,-0.24355567,0.3983049,0.2561122,-0.6254969,-0.764384,-0.0075156167,-0.14061658,0.19294892,0.45146626,0.44399875
-0.21269917,-0.66338915,-0.11799077,-0.30289665,-0.1108458,-0.090355456,0.20134768,-0.18969834,0.28620982,0.091949984,-0.39896777,0.38357347,-0.24834108,-0.47501776,0.23151325,-0.265771
0.21762443,-0.53813136,0.16387093,0.31120706,-0.38015658,-0.14156558,-0.13169621,0.3218333,0.066599235,-0.44605178,-0.38251045,-0.32849753,0.12579687,0.10318065,0.14832415,0.5931754
-0.06796293,-0.14769396,0.44544166,0.10636473,-0.2522997,-0.517849,-0.010665409,0.20299424,0.6193519,-0.30682987,-0.33474773,-0.5185841,0.9588331,0.3292785,-0.30477753,0.26055595
0.15837656,-0.09347902,0.38693842,-0.20572484,0.5114577,0.037321478,0.46124402,0.29218107,-0.459815,0.078582,0.5606368,-0.453241,0.09689839,-0.19468983,-0.47385693,-0.41799143
-0.39354748,-0.18227433,-0.1533089,-0.35924375,0.56131136,0.04510382,-0.093701184,0.38270852,0.19515085,-0.64689237,-0.55187994,-0.3023693,-0.10960903,-0.6626876,-0.2791602,-0.55217856
-0.2858203,-0.4252907,-0.48899958,-0.62976456,0.15897608,-0.0750279,0.2493906,-0.43601194,-0.0026835492,-0.056841314,-0.3916635,0.19484948,-0.05132401,0.2103938,0.37254822,0.008083662
-0.018403748,-0.21458656,0.034876168,-0.1787348,-0.41999996,-0.35018778,-0.004791323,0.09689738,-0.29576287,-0.4366339,-0.41932446,0.31578588,-0.009728478,0.22171539,0.13875555,0.109156325
